Entrance,406,483
Harry Potter and the Forbidden Journey,482,122
Jurassic Park River Adventure,315,116
The Incredible Hulk Coaster,268,425
The Cat in the Hat,536,446
Hagrid’s Magical Creatures Motorbike Adventure,657,170
Skull Island: Reign of Kong,180,139
Popeye & Bluto’s Bilge-Rat Barges,232,243
Poseidon’s Fury,639,287
Doctor Doom’s Fearfall,147,393
The Mystic Fountain,679,232
